ΣΥΝΤΑΓΗ,ΚΟΣΤΟΣ ΠΡΟΙΟΝΤΟΣ,ΠΡΟΤΕΙΝΟΜΕΝΗ ΤΙΜΗ ΠΩΛΗΣΗΣ,Γενικές Εκπτώσεις,ΑΝΤΙΠΡΟΣΩΠΟΙ,Eshop B2C,Gprofit value Representatives,Gprofit % Representatives,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,mark up % profit representatives,0.35
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
0,,0.0,0.0,,,,,,,,,,,,,
