Name,Price,Volume,Τιμή/ml,Αλκοόλ %,Απόθεμα (ml)
"ΔΕΝΤΡΟΛΙΒΑΝΟ 0,5gr",1.0,1000,0.001,0.0,0.0
"ΔΥΟΣΜΟΣ 0,5gr",1.0,1000,0.001,0.0,0.0
Κιτρικό Οξύ,10.0,1000,0.01,0.0,0.0
ΛΙΚΕΡ ΣΧΙΝΟΣ ΜΑΣΤΙΧΑ,14.78,700,0.0211142857142857,0.3,0.0
ΜΑΡΜΕΛΑΔΑ ΔΑΜΑΣΚΗΝΟ,5.0,1000,0.005,0.0,0.0
ΡΑΚΙ ΧΥΜΑ1000ML,6.0,1000,0.006,0.4,0.0
ΣΙΡΟΠΙ ΑΓΑΥΗΣ,15.0,1000,0.015,0.0,0.0
ΣΙΡΟΠΙ ΣΥΚΟ,11.2,1000,0.0112,0.0,0.0
ΤΡΙΑΝΤΑΦΥΛΛΟ ΑΠΟΞΗΡΑΜΕΝΟ,1.0,1000,0.001,0.0,0.0
ΤΣΑΙ ΤΟΥ ΒΟΥΝΟΥ,3.0,10,0.3,0.0,0.0
φυλλα αρμπαρόριζας,2.2,1000,0.0022,0.0,0.0
ΧΡΩΣΤΙΚΗ ΡΟΖ,4.05,28,0.1446428571428571,0.0,0.0
Χυμός Βύσσινο 1000ml ViVA,1.18,1000,0.0011799999999999,0.0,0.0
Almond Syrup giffard 1000ml,8.96,1000,0.00896,0.0,0.0
Almond Syrup Vedrenne 1000ml,6.76,1000,0.0067599999999999,0.0,0.0
Angostura bitters 200ml,16.46,200,0.0823,0.0,0.0
Apple Sourze 700 ml,10.2,700,0.0145714285714285,0.15,120.0
Artesano Blanco Rum 700ml,14.5,700,0.0207142857142857,0.0,0.0
BACARDI ANEJO CUATRO 700ML,20.5,700,0.0292857142857142,0.4,0.0
BACARDI BLACK 700ML,16.07,700,0.0229571428571428,0.4,0.0
BACARDI CARTA BLANCA 1LT,20.46,1000,0.02046,0.0,0.0
BACARDI RESERVA OCHO 700 ML,27.85,700,0.0397857142857142,0.0,0.0
BACARDI SPAIN 700ML,15.45,700,0.0220714285714285,0.375,0.0
Balsam,11.8,1000,0.0118,0.0,0.0
Basilic Syrup giffard 1000ml,9.86,1000,0.0098599999999999,0.0,0.0
Basilic Syrup il Dodge 700ml,5.704,700,0.0081485714285714,0.0,0.0
Berries,14.3,1000,0.0143,0.0,0.0
BLOOD ORANGE GIFFARD syrup 1LT,7.16,1000,0.00716,0.0,0.0
BOMBAY DRY GIN 700ml,15.02,700,0.0214571428571428,0.375,700.0
Bubblegum Syrup giffard 1000ml,9.86,1000,0.0098599999999999,0.0,0.0
BULDOG GIN,23.69,700,0.0338428571428571,0.4,0.0
Campari 700ml,17.49,700,0.0249857142857142,0.25,0.0
CAZADORES BLANCO 700 ML,21.1,700,0.0301428571428571,0.4,0.0
CAZADORES REPOSADO 700 ML,22.79,700,0.0325571428571428,0.0,0.0
CHOCOLATE COOKIES IL DOGE 700ML,7.13,700,0.0101857142857142,0.0,0.0
chocolate cookies syrup giffard 1lt,9.86,1000,0.0098599999999999,0.0,0.0
Cinnamon Syrup handmade - giffard 1lt,9.86,1000,0.0098599999999999,0.0,0.0
Coconut puree REAL 500,8.36,500,0.01672,0.0,0.0
Coconut sirup Giffard 1lt,9.86,1000,0.0098599999999999,0.0,0.0
Coconut/BASILIC/CUCUMBER sirup IL DOGE,5.7,700,0.0081428571428571,0.0,0.0
Cranberry juice viva 1000ml,1.71,1000,0.00171,0.0,0.0
Cucumber syrup Giffard 1000ml,9.86,1000,0.0098599999999999,0.0,0.0
Cucumber syrup Vedrenne 1000ml,6.76,1000,0.0067599999999999,0.0,0.0
Cutty Sark Whiskey 700ml,15.24,700,0.0217714285714285,0.4,0.0
DEWARS 700 ml,15.49,1000,0.01549,0.0,0.0
DON Q,17.22,1000,0.01722,0.0,0.0
ERISTOFF 700 ML,10.79,700,0.0154142857142857,0.375,235.0
Falernum Velvet 700ml,18.24,700,0.0260571428571428,0.11,0.0
Finsbury Gin 700ml,11.44,700,0.0163428571428571,0.375,0.0
Forest Fruit Puree mixer,13.43,1000,0.01343,0.0,0.0
Fresh lemon juice bar supply,7.0,1000,0.007,0.0,0.0
FRESH LEMON JUICE viva 1000ml,1.2,1000,0.0012,0.0,0.0
FRESH LIME JUICE bar supply 1000ml,4.2,700,0.006,0.0,500.0
FRESH ORANGE JUICE viva 1000 ml,1.92,1000,0.0019199999999999,0.0,0.0
GIN KORSAVAS,12.51,1000,0.01251,0.0,0.0
"GIN SOUTH BANK 700 ML (37,5%)",9.635,700,0.0137642857142857,0.375,0.0
Ginger Syrup handmade,0.003,1,0.003,0.0,0.0
Grenadine giffard 1000 ml,6.26,1000,0.00626,0.0,0.0
Hendrick's Gin 700ml,30.02,700,0.0428857142857142,0.0,0.0
Honey Syrup handmade,0.01,1000,1e-05,0.0,0.0
KINGSBURY GIN 700ML,10.85,700,0.0155,0.4,0.0
KRESKOVA VODKA 700ML,10.46,700,0.0149428571428571,0.4,0.0
Liquer Melon Midori 700ml,16.36,700,0.0233714285714285,0.2,0.0
Liqueur καρπουζι monin,15.91,700,0.0227285714285714,0.0,0.0
Liqueur Giffard Rose/Τριαντάφυλλο,10.46,700,0.0149428571428571,0.16,0.0
LIQUEUR PASSOA 700ml,11.92,700,0.0170285714285714,0.17,0.0
Liqueur Peach Schnapps giffard,12.02,700,0.0171714285714285,0.16,0.0
Malibu,12.69,700,0.0181285714285714,0.21,0.0
Mango Puree monin 1000ml,16.05,1000,0.01605,0.0,0.0
