Ημερομηνία,Ώρα,Πελάτης,Cocktail,LOT_Cocktail,Barcode,Τεμάχια,Υλικό,Σύνολο_ML,Στόχος_Γραμμάρια,Lot Number,Ημ_Λήξης
19/05/2026,19:49,CabClub E-shop,AEGEAN KINGS HIGH,19/05/2026-22,520111111.0,240,BOMBAY DRY GIN 700ml,14400.0,4813.7,1111 / 2222,1/11 / 2/22
19/05/2026,19:49,CabClub E-shop,AEGEAN KINGS HIGH,19/05/2026-22,520111111.0,240,FRESH LIME JUICE bar supply,7200.0,5832.0,,
19/05/2026,19:49,CabClub E-shop,AEGEAN KINGS HIGH,19/05/2026-22,520111111.0,240,Basilic Syrup giffard 1000ml,4800.0,3254.4,,
19/05/2026,19:49,CabClub E-shop,AEGEAN KINGS HIGH,19/05/2026-22,520111111.0,240,Cucumber syrup Giffard 1000ml,7200.0,6408.0,,
