Ονομα,Τιμή Καταλόγου,ΣΥΣΤΑΤΙΚΟ1,ML1,ΣΥΣΤΑΤΙΚΟ2,ML2,ΣΥΣΤΑΤΙΚΟ3,ML3,ΣΥΣΤΑΤΙΚΟ4,ML4,ΣΥΣΤΑΤΙΚΟ5,ML5,ΣΥΣΤΑΤΙΚΟ6,ML6,ΣΥΣΤΑΤΙΚΟ7,ML7,ΣΥΣΤΑΤΙΚΟ8,ML8,ΣΥΣΤΑΤΙΚΟ9,ML9,ΣΥΣΤΑΤΙΚΟ10,ML10,ΣΥΣΤΑΤΙΚΟ11,ML11,ΣΥΣΤΑΤΙΚΟ12,ML12,ΣΥΣΤΑΤΙΚΟ13,ML13
GOLDEN SHOWER,0.0,Νερό,10.0,CAZADORES BLANCO 700 ML,45.0,chocolate cookies syrup giffard 1lt,15.0,Liquer Melon Midori 700ml,35.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
JAPAN ICE TEA,0.0,Νερό,10.0,BOMBAY DRY GIN 700ml,20.0,BACARDI SPAIN 700ML,20.0,ERISTOFF 700 ML,20.0,CAZADORES BLANCO 700 ML,20.0,FRESH LIME JUICE bar supply 1000ml,20.0,Simple syrop,15.0,Liquer Melon Midori 700ml,20.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
LONG ISLAND ICE TEA,0.0,Νερό,10.0,BOMBAY DRY GIN 700ml,20.0,BACARDI SPAIN 700ML,20.0,ERISTOFF 700 ML,20.0,CAZADORES BLANCO 700 ML,20.0,Orange Triple Sec ΑΙΟΛΙΚΙ 700ML,20.0,Simple syrop,15.0,FRESH LIME JUICE bar supply 1000ml,20.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
MARGARITA PERFECT,0.0,Νερό,10.0,CAZADORES BLANCO 700 ML,60.0,FRESH LIME JUICE bar supply 1000ml,30.0,Orange Triple Sec ΑΙΟΛΙΚΙ 700ML,30.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
MARGARITA STRAWBERRY,0.0,Νερό,10.0,Olmeca tequilla silver,50.0,FRESH LIME JUICE bar supply 1000ml,30.0,Orange Triple Sec ΑΙΟΛΙΚΙ 700ML,15.0,Strawberry Puree monin 1000ml,25.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
NEGRONI,0.0,Νερό,10.0,BOMBAY DRY GIN 700ml,30.0,Campari 700ml,30.0,Martini Rosso 1000ml,30.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
ORIGINAL MAI TAI,0.0,Νερό,10.0,BACARDI SPAIN 700ML,25.0,BACARDI BLACK 700ML,25.0,Almond Syrup giffard 1000ml,25.0,Falernum Velvet 700ml,20.0,Orange Triple Sec ΑΙΟΛΙΚΙ 700ML,25.0,FRESH LIME JUICE bar supply 1000ml,25.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
PALOMA,0.0,Νερό,10.0,CAZADORES BLANCO 700 ML,50.0,FRESH LIME JUICE bar supply 1000ml,30.0,Simple syrop,10.0,PINK GRAPEFRUIT GIFFARD(pamplemousse rose) ,20.0,ΧΡΩΣΤΙΚΗ ΡΟΖ,0.25,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
PINA COLADA MEDIUM,0.0,Νερό,10.0,BACARDI SPAIN 700ML,50.0,Malibu,20.0,Pineapple Juice VIVA 1000ml,70.0,Coconut sirup Giffard 1lt,30.0,Simple syrop,10.0,FRESH LIME JUICE bar supply 1000ml,5.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
PORNSTAR MARTINI HIGH,0.0,Νερό,15.0,ERISTOFF 700 ML,60.0,FRESH LIME JUICE bar supply 1000ml,30.0,Simple syrop,15.0,Passion Fruit Puree monin 1000ml,15.0,LIQUEUR PASSOA 700ml,15.0,vanilla syrup monin ,5.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
