Ημερομηνία,Ώρα,Πελάτης,Cocktail,LOT_Cocktail,Barcode,Τεμάχια,Υλικό,Σύνολο_ML,Στόχος_Γραμμάρια,Lot Number,Ημ_Λήξης
13/03/2026,20:13,ΒΑΜΒΟΥΚΑ,AEGEAN KINGS HIGH,130326,520111111.0,1,BOMBAY DRY GIN 700ml,60.0,20.1,,
13/03/2026,20:13,ΒΑΜΒΟΥΚΑ,AEGEAN KINGS HIGH,130326,520111111.0,1,FRESH LIME JUICE bar supply,30.0,24.3,,
13/03/2026,20:13,ΒΑΜΒΟΥΚΑ,AEGEAN KINGS HIGH,130326,520111111.0,1,Basilic Syrup giffard 1000ml,20.0,13.6,,
13/03/2026,20:13,ΒΑΜΒΟΥΚΑ,AEGEAN KINGS HIGH,130326,520111111.0,1,Cucumber syrup Giffard 1000ml,30.0,26.7,,
