Ημερομηνία,Ώρα,Πελάτης,Cocktail,LOT_Cocktail,Barcode,Τεμάχια,Υλικό,Σύνολο_ML,Στόχος_Γραμμάρια,Lot Number,Ημ_Λήξης
07/05/2026,08:52,ΚΑΛΟΥΔΗΣ,ZOMBIE,07/05/2026-08,,120,BACARDI SPAIN 700ML,3000.0,1002.9,,
07/05/2026,08:52,ΚΑΛΟΥΔΗΣ,ZOMBIE,07/05/2026-08,,120,BACARDI ANEJO CUATRO 700ML,1800.0,601.7,,
07/05/2026,08:52,ΚΑΛΟΥΔΗΣ,ZOMBIE,07/05/2026-08,,120,BACARDI BLACK 700ML,3000.0,527.1,,
07/05/2026,08:52,ΚΑΛΟΥΔΗΣ,ZOMBIE,07/05/2026-08,,120,PLANTATION RUM  OVERPROOF 700ML,600.0,295.7,,
07/05/2026,08:52,ΚΑΛΟΥΔΗΣ,ZOMBIE,07/05/2026-08,,120,Orange Triple Sec ΑΙΟΛΙΚΙ 700ML,3000.0,1478.6,,
07/05/2026,08:52,ΚΑΛΟΥΔΗΣ,ZOMBIE,07/05/2026-08,,120,Simple syrop,1800.0,221.4,,
07/05/2026,08:52,ΚΑΛΟΥΔΗΣ,ZOMBIE,07/05/2026-08,,120,FRESH LIME JUICE bar supply,2400.0,1944.0,,
07/05/2026,08:52,ΚΑΛΟΥΔΗΣ,ZOMBIE,07/05/2026-08,,120,FRESH ORANGE JUICE mythical 1000 ml,2400.0,1360.8,,
07/05/2026,08:52,ΚΑΛΟΥΔΗΣ,ZOMBIE,07/05/2026-08,,120,Pineapple Juice MYTHICAL,4800.0,1656.0,,
07/05/2026,08:52,ΚΑΛΟΥΔΗΣ,ZOMBIE,07/05/2026-08,,120,Almond Syrup giffard 1000ml,2400.0,828.0,,
07/05/2026,08:52,ΚΑΛΟΥΔΗΣ,ZOMBIE,07/05/2026-08,,120,Passion Fruit Puree monin 1000ml,1200.0,42.0,,
07/05/2026,08:53,siamantas,ZOMBIE,07/05/2026-09,,120,BACARDI SPAIN 700ML,3000.0,1002.9,,
07/05/2026,08:53,siamantas,ZOMBIE,07/05/2026-09,,120,BACARDI ANEJO CUATRO 700ML,1800.0,601.7,,
07/05/2026,08:53,siamantas,ZOMBIE,07/05/2026-09,,120,BACARDI BLACK 700ML,3000.0,527.1,,
07/05/2026,08:53,siamantas,ZOMBIE,07/05/2026-09,,120,PLANTATION RUM  OVERPROOF 700ML,600.0,295.7,,
07/05/2026,08:53,siamantas,ZOMBIE,07/05/2026-09,,120,Orange Triple Sec ΑΙΟΛΙΚΙ 700ML,3000.0,1478.6,,
07/05/2026,08:53,siamantas,ZOMBIE,07/05/2026-09,,120,Simple syrop,1800.0,221.4,,
07/05/2026,08:53,siamantas,ZOMBIE,07/05/2026-09,,120,FRESH LIME JUICE bar supply,2400.0,1944.0,,
07/05/2026,08:53,siamantas,ZOMBIE,07/05/2026-09,,120,FRESH ORANGE JUICE mythical 1000 ml,2400.0,1360.8,,
07/05/2026,08:53,siamantas,ZOMBIE,07/05/2026-09,,120,Pineapple Juice MYTHICAL,4800.0,1656.0,,
07/05/2026,08:53,siamantas,ZOMBIE,07/05/2026-09,,120,Almond Syrup giffard 1000ml,2400.0,828.0,,
07/05/2026,08:53,siamantas,ZOMBIE,07/05/2026-09,,120,Passion Fruit Puree monin 1000ml,1200.0,42.0,,
07/05/2026,08:53,siamantas,AEGEAN KINGS HIGH,07/05/2026-09,520111111.0,123,BOMBAY DRY GIN 700ml,7380.0,2467.0,,
07/05/2026,08:53,siamantas,AEGEAN KINGS HIGH,07/05/2026-09,520111111.0,123,FRESH LIME JUICE bar supply,3690.0,2988.9,,
07/05/2026,08:53,siamantas,AEGEAN KINGS HIGH,07/05/2026-09,520111111.0,123,Basilic Syrup giffard 1000ml,2460.0,1667.9,,
07/05/2026,08:53,siamantas,AEGEAN KINGS HIGH,07/05/2026-09,520111111.0,123,Cucumber syrup Giffard 1000ml,3690.0,3284.1,,
07/05/2026,08:53,KORDATOS,AEGEAN KINGS HIGH,07/05/2026-10,520111111.0,12,BOMBAY DRY GIN 700ml,720.0,240.7,,
07/05/2026,08:53,KORDATOS,AEGEAN KINGS HIGH,07/05/2026-10,520111111.0,12,FRESH LIME JUICE bar supply,360.0,291.6,,
07/05/2026,08:53,KORDATOS,AEGEAN KINGS HIGH,07/05/2026-10,520111111.0,12,Basilic Syrup giffard 1000ml,240.0,162.7,,
07/05/2026,08:53,KORDATOS,AEGEAN KINGS HIGH,07/05/2026-10,520111111.0,12,Cucumber syrup Giffard 1000ml,360.0,320.4,,
07/05/2026,08:53,KORDATOS,VIOLETTA MEDIUM,07/05/2026-10,nan,24,BOMBAY DRY GIN 700ml,960.0,320.9,,
07/05/2026,08:53,KORDATOS,VIOLETTA MEDIUM,07/05/2026-10,nan,24,FRESH LEMON JUICE mythical,480.0,325.4,,
07/05/2026,08:53,KORDATOS,VIOLETTA MEDIUM,07/05/2026-10,nan,24,FRESH LIME JUICE bar supply,240.0,194.4,,
07/05/2026,08:53,KORDATOS,VIOLETTA MEDIUM,07/05/2026-10,nan,24,Violet Syrup Giffard,600.0,534.0,,
07/05/2026,08:53,KORDATOS,VIOLETTA MEDIUM,07/05/2026-10,nan,24,Syrup Ginger giffard,480.0,427.2,,
07/05/2026,08:53,KORDATOS,VIOLETTA MEDIUM,07/05/2026-10,nan,24,Simple syrop,240.0,29.5,,
